"Horodateur","Retourner au travail ou à l'école est-il une source de stress ?","Dans quelle catégorie socio-professionnelle vous situez-vous ?","Quel est votre niveau d’étude ?","Quel est votre sexe ?","Dans quelle tranche d'age vous situez vous?","Statut marital","Combien de personne compose votre foyer ?","Où habitez-vous ?","Vous vivez ...","Quel est votre mode de déplacement professionnel? ","Suite au confinement, pensez vous changer votre mode de déplacement?","Appréciez-vous le télétravail ?","Pensez-vous être plus productif en télétravail ?","Pourquoi ?","Veuillez répondre « Un peu » à cette question.","Selon vous combien de temps les mesures de gestes barrières devraient être appliquées ?","Qu'est ce qui, selon vous, pourrait améliorer le télétravail ?","Selon vous, après cet épisode de crise, quelle(s) mesure(s) devraient être prise(s) lors de votre retour sur votre lieu de travail ? "
"2020/06/15 10:36:49 AM UTC+2","2","Employé","Bac+2 (BTS ou autre)","Féminin","26 - 35 ans","En couple","2","En milieu urbain","En appartement","En voiture / moto / scooter","1","6","4","Plus de concentration selon les taches mais manque de certains outils (imprimante, scan..) pour d'autres choses ","Un peu","Au moins 3 mois","Revoir l'organisation de travail dans certains secteur ","Mesure de distanciation et sanitaire déjà mise en place. Masque, gel hydroalcoolique,plexi en rdv client "
"2020/06/15 10:39:23 AM UTC+2","7","Cadre ou profession intellectuelle supérieure","Bac+5 (Master, écoles d'ingé, écoles d'arts...)","Féminin","26 - 35 ans","Célibataire","1","En milieu périurbain","Appartement avec terrasse","En transport en commun","1","6","7","J'ai tendance à moins regarder l'heure et je suis beaucoup plus réactive vu que je ne me suis pas fatiguée à prendre les transports.","Un peu","Jusqu'à l'arrivée d'un vaccin","","Recruter en fonction de l'hygiène. Arrêter la bise entre collègue pour les femmes."
"2020/06/15 10:40:13 AM UTC+2","1","Etudiant, lycéen","Bac (général, pro et technologique)","Masculin","18 - 25 ans","Célibataire","5 ou plus","En milieu rural","En maison avec jardin","En voiture / moto / scooter","1","3","1","","Un peu","Au moins 6 mois","",""
"2020/06/15 10:44:13 AM UTC+2","1","Profession intermédiaire","Bac+5 (Master, écoles d'ingé, écoles d'arts...)","Masculin","26 - 35 ans","En couple","2","En milieu urbain","En appartement","En voiture / moto / scooter","3","6","6","Car je ne suis pas polué par des sollicitations extérieures. Je peux organiser ma journée et mes tâches sans être perturbé ","Un peu","Au moins 6 mois","Un cadre précis pour les teletravailleurs. Une fonctionnement « à la tâche » ","Le maintien des solutions barrières afin de rassurer les collaborateurs "
"2020/06/15 10:49:39 AM UTC+2","1","Profession intermédiaire","Bac+3/4 (Licence, Maîtrise)","Masculin","26 - 35 ans","En couple","2","En milieu périurbain","En maison avec jardin","En voiture / moto / scooter","7","3","4","Nous sommes plus au calme et on étend plus notre plage de travail. Soit tôt le matin, soit le midi, soit le soir. Ou alors deux d'entre-elles, voire les trois. Plus productif mais moins efficient.","Tout le temps","Au moins 3 mois","L'arrêt des réunions inutiles, les délais toujours plus courts, imposer pour tous un temps mort le midi, le soir.","Pas certain que le masque soit vraiment utile mais c'est un avis personnel. Je pense que dans les faits c'est une mesure qui ne sera que peu respecter au fil du temps. L'essentiel est que chacun respecte la distanciation, se lave les mains régulièrement et que le ménage soit fait régulièrement avec possibilité d'avoir des lingettes désinfectantes à disposition. "
"2020/06/15 10:50:38 AM UTC+2","3","Cadre ou profession intellectuelle supérieure","Bac+5 (Master, écoles d'ingé, écoles d'arts...)","Masculin","36 - 50 ans","En couple","4","En milieu périurbain","En maison","En transport en commun","2","5","6","Plus facile de gérer les sollicitations extérieures. Plus facile de dire ""non"". Plus facile de gérer ses propres horaires de travail en fonction de ses objectifs.","Un peu","Au moins 3 mois","Utilisation de la fibre et de la box entièrement remboursée par l'employeur.","Augmenter considérablement la part du télétravail, sans restriction ni justification."
"2020/06/15 10:52:55 AM UTC+2","3","Employé","Bac (général, pro et technologique)","Masculin","36 - 50 ans","En couple","4","En milieu rural","En maison","En voiture / moto / scooter","5","6","6","Meilleure gestion du temps ","Un peu","Au moins 6 mois","Réseau de télécommunications","Achat en local"
"2020/06/15 10:53:54 AM UTC+2","1","Profession intermédiaire","Bac+5 (Master, écoles d'ingé, écoles d'arts...)","Masculin","18 - 25 ans","En couple","2","En milieu périurbain","En appartement","À vélo","1","1","1","Donner des cours d'EPS est compliqué à distance ","Un peu","Au moins 6 mois","","Des agents d'entretien supplémentaires et des sanitaires propres pour les élèves "
"2020/06/15 10:55:16 AM UTC+2","3","Cadre ou profession intellectuelle supérieure","CAP/BEP (autres diplômes techniques)","Féminin","36 - 50 ans","Célibataire","3","En milieu urbain","En appartement","En voiture / moto / scooter","1","7","5","Moins de sujet qui nous disperse moins tenté de discuter entre collegue","Un peu","Au moins 6 mois","La fibre dans tous les foyers","Le lavage de main systématique a l entree"
"2020/06/15 11:12:12 AM UTC+2","4","Cadre ou profession intellectuelle supérieure","Bac+5 (Master, écoles d'ingé, écoles d'arts...)","Féminin","18 - 25 ans","En couple","2","En milieu périurbain","En maison","En transport en commun","4","7","7","Pas dérangé, plus concentré","Un peu","Au moins 6 mois","achat de mobilier à déquat","plus de télétravail, gel hydroalcolique à l'entrée, agrandissement des salles de pause"
"2020/06/15 11:19:33 AM UTC+2","4","Cadre ou profession intellectuelle supérieure","Bac+5 (Master, écoles d'ingé, écoles d'arts...)","Masculin","26 - 35 ans","En couple","2","En milieu rural","En maison avec jardin","En voiture / moto / scooter","2","7","6","Liberté dans les horaires. Bureau individuel","Un peu","Au moins 6 mois","Fibre optique sur tout le territoire. Plus de confiance chez l'employeur","des alternances de présence dans les bureaux. Beaucoup plus de souplesse dans la gestion du télétravail"
"2020/06/15 11:20:08 AM UTC+2","1","Cadre ou profession intellectuelle supérieure","Bac+5 (Master, écoles d'ingé, écoles d'arts...)","Masculin","26 - 35 ans","En couple","2","En milieu urbain","En appartement","En voiture / moto / scooter","1","7","7","Pas de sollicitation externe, moins de bruit, plus de libertés","Un peu","Jusqu'à l'arrivée d'un vaccin","","Ne pas retourner au travail"
"2020/06/15 11:22:58 AM UTC+2","4","Profession intermédiaire","Bac+5 (Master, écoles d'ingé, écoles d'arts...)","Masculin","26 - 35 ans","En couple","3","En milieu urbain","En appartement","À vélo","2","3","1","Mon métier ne s’y prête pas","Un peu","Au moins 6 mois","",""
"2020/06/15 11:26:43 AM UTC+2","2","Cadre ou profession intellectuelle supérieure","Bac+3/4 (Licence, Maîtrise)","Masculin","26 - 35 ans","Célibataire","1","En milieu urbain","En appartement","En voiture / moto / scooter","4","4","2","Plus de distractions (réseaux sociaux etc)","Un peu","Au moins 6 mois","",""
"2020/06/15 11:29:57 AM UTC+2","1","Employé","Bac+2 (BTS ou autre)","Féminin","36 - 50 ans","En couple","4","En milieu rural","En maison avec jardin","En voiture / moto / scooter","1","1","1","Ambulancière impossible le télétravail","Un peu","Jusqu'à l'arrivée d'un vaccin","",""
"2020/06/15 11:30:23 AM UTC+2","1","Cadre ou profession intellectuelle supérieure","Bac+5 (Master, écoles d'ingé, écoles d'arts...)","Masculin","36 - 50 ans","En couple","4","En milieu rural","En maison avec jardin","En voiture / moto / scooter","6","7","6","Meilleure concentration et peu d’interruption par des sollicitions de collègue.","Un peu","Jusqu'à l'arrivée d'un vaccin","Le réseau internet, les outils pour fluidifier les échanges.",""
"2020/06/15 11:39:17 AM UTC+2","1","Employé","Bac+2 (BTS ou autre)","Féminin","18 - 25 ans","Célibataire","1","En milieu rural","En maison avec jardin","En voiture / moto / scooter","1","7","4","","Un peu","Au moins 6 mois","",""
"2020/06/15 11:41:10 AM UTC+2","4","Cadre ou profession intellectuelle supérieure","Bac+5 (Master, écoles d'ingé, écoles d'arts...)","Masculin","18 - 25 ans","Célibataire","1","En milieu urbain","En maison avec jardin","À vélo","1","2","2","","Un peu","Au moins 3 mois","De bonne condition de travail et un suivi plus précis",""
"2020/06/15 11:42:59 AM UTC+2","5","Employé","Bac+5 (Master, écoles d'ingé, écoles d'arts...)","Masculin","36 - 50 ans","Célibataire","1","En milieu urbain","En appartement","À pied","1","6","6","Moins de perturbations. Plus de concentration.","Un peu","Jusqu'à l'arrivée d'un vaccin","Plus de convivialité à distance.","Amélioration des mesures d'hygiènes."
"2020/06/15 11:47:35 AM UTC+2","1","Employé","Bac+2 (BTS ou autre)","Masculin","36 - 50 ans","En couple","4","En milieu périurbain","En maison","En voiture / moto / scooter","1","5","6","Moins déranger, horaire plus souple","Un peu","Au moins 6 mois","","Imposer les gestes barrières sur toute l'année"
"2020/06/15 11:50:31 AM UTC+2","1","Cadre ou profession intellectuelle supérieure","Bac+3/4 (Licence, Maîtrise)","Féminin","36 - 50 ans","En couple","2","En milieu périurbain","En maison avec jardin","En transport en commun","1","4","4","","Un peu","Au moins 1 an","Maintenir un lien social avec son entreprise","Respecter toutes les normes d'hygiène 
Maintenir la distance physique"
"2020/06/15 11:50:58 AM UTC+2","3","Etudiant, lycéen","Bac+2 (BTS ou autre)","Masculin","26 - 35 ans","Célibataire","1","En milieu urbain","En appartement","Teletravail toute l'année ","3","6","6","Plus d'autonomie et un cadre qui me convient","Un peu","Au moins 3 mois","Un planning personnel ? ",""
"2020/06/15 11:54:10 AM UTC+2","1","Employé","Bac+2 (BTS ou autre)","Masculin","18 - 25 ans","Célibataire","4","En milieu urbain","En appartement","En voiture / moto / scooter","1","1","1","Mon métier ne me permet pas de faire du télétravail (Restauration) ","Un peu","Au moins 3 mois","",""
"2020/06/15 12:06:12 PM UTC+2","4","Cadre ou profession intellectuelle supérieure","Bac+5 (Master, écoles d'ingé, écoles d'arts...)","Féminin","18 - 25 ans","En couple","2","En milieu périurbain","En appartement","En voiture / moto / scooter","1","3","6","","Un peu","Jusqu'à l'arrivée d'un vaccin","",""
"2020/06/15 12:53:26 PM UTC+2","2","Cadre ou profession intellectuelle supérieure","Bac+5 (Master, écoles d'ingé, écoles d'arts...)","Masculin","18 - 25 ans","En couple","2","En milieu urbain","En appartement","À vélo","6","6","6","Plus de concentration sur les tâches à réaliser plutôt que sur la communication avec les personnes de l'équipe.
Exception des réunions, et échanges/débats pouvant demander schéma, présentation et autres","Un peu","Jusqu'à l'arrivée d'un vaccin","Un pc portable de l'entreprise (permettrait également de travailler hors-ligne).
Des outils recommandés ou développés pour la communication.","En l'état, ce qui est fait est très bien."
